"ML#","% Interests In Common Elmts","Sewer Type","Sold Price","Spa Location","Special Assessments YN","Stories","Stories In Building","Style","Subdivision","Tennis Courts YN","Termite Contract YN","Transaction Type","Water Type","Waterfront","Year Built"
"BR2021016001","","","$299,900","","","1.0","","French Country","Old Dutchtown","","","","Public","Water Front","2007"
"BR2021016020","","City","$229,000","","","1.0","","Traditional","Prairie Village Acres","","","","Public","",""
"BR2021016036","","City","$232,000","","","1.0","","Traditional","Lake Summerset","","","","Public","","2011"
"BR2021016126","","City","$251,000","","","1.0","","Traditional","Olde Paces Pointe","","","","Public","",""
"BR2021016242","","Septic","$225,000","","","1.0","","Cottage","Rural Tract (No Subd)","","","","Well","",""
"BR2021016296","","City","$293,000","","","1.0","","Traditional","Reserve at Conway The","","","","Public","","2019"
"BR2021016319","","Septic","$161,000","","","1.0","","Mobile Home","Rural Tract (No Subd)","","","","Public","","2009"
"BR2021016351","","","$69,000","","","2.0","","Cottage","Rural Tract (No Subd)","","","","Well","",""
"BR2021016361","","","$335,000","","","1.0","","Traditional","Lazy Oaks","","","","Public","",""
"BR2021016459","","City","$435,000","","","1.0","","Traditional","Village at Conway, The","","","","Public","","2021"
"BR2021016529","","","$235,000","","","1.0","","French Country","Angelle Estates","","","","Public","","2002"
"BR2021016778","","","$310,000","","","2.0","","Traditional","Lake Summerset","","","","","Water Front","2007"
"BR2021017028","","City","$179,000","","","1.0","","Cottage","Rural Tract (No Subd)","","","","Public","","2014"
"BR2021017585","","City","$310,000","","","1.0","","Traditional","Pelican Crossing","","","","Public","","2019"
"BR2021017948","","City","$46,500","","","1.0","","Modular","Rural Tract (No Subd)","","","","","","2018"
"BR2021016418","","City","$311,700","","","1.0","","Traditional","Gramercy Park","","","","","","2021"
"BY161277","","","$625,000","","","1.5","","Camp","Queen Bess","","","","Public","Water Front","2015"
"BY161382","","Septic","$200,000","","","1.0","","Camp","Chighizola","","","","Public","","2021"
"BY161388","","Septic","$745,000","","","1.0","","Camp","Amaris Isle","","","","Public","Water Front","2021"
"BY161520","","Septic","$775,000","","","1.0","","Camp","Ace's Harbor","","","","Public","Water Front","2016"
"BY161661","","Septic","$340,000","","","1.0","","Camp","Grand Isle","","","","Public","","1986"
"BY161676","","Septic","$174,500","","","1.0","","Mobile Home","Ocean Park","","","","Public","","2005"
"BY106135","","City","$160,000","","","1.0","","Traditional","Blue Ridge","","","","","",""
"BY161140","","","$201,000","","","1.0","","Party Wall Double","None","","","","Public","","1980"
"BY161183","","","$215,000","","","1.0","","","Blue Ridge","","","","Public","","2012"
"BY161191","","City","$218,000","","","1.0","","","Blue Ridge","","","","Public","","2008"
"BY161251","","","$278,000","","","1.0","","","Highland Oaks","","","","","","2016"
"BY161294","","Septic","$95,000","","","1.0","","Mobile Home","Rachel Plantation","","","","Public","","2004"
"BY161312","","Septic","$174,900","","","1.0","","","None","","","","Public","","1985"
"BY161321","","City","$198,500","","","1.0","","","Blue Ridge","","","","Public","","2006"
"BY161331","","Septic","$72,800","","","1.0","","","Cumberland Estates","","","","Public","","1997"
"BY161412","","","$199,000","","","1.0","","","Woodland Hgts","","","","Public","","2000"
"BY161569","","City","$295,000","","","1.0","","","Wallace J Thibodaux","","","","","","2007"
"BY161598","","","$180,000","","","1.0","","","Clearview Terace","","","","Public","","1976"
"BY161641","","","$181,000","","","1.0","","","Oak Grove Park","","","","Public","","2005"
"BY163304","","","$197,000","","","1.0","","","Blue Ridge","","","","Public","","2005"
"BY163380","","","$405,000","","","1.0","","","Wallace J Thibodaux","","","","Public","","2010"
"BY163676","","","$96,000","","","1.0","","","Lydia Park S/D","","","","Public","","1976"
"BY163698","","City","$175,000","","","1.0","","","Green Fire","","","","Public","","2007"
"BY163786","","","$320,000","","","1.0","","","Paradise Cove","","","","Public","","2009"
"BR2021013532","","","$92,800","","","1.0","","Cottage","Rural Tract (No Subd)","","","","","",""
"BR2016009441","","City","$265,000","","","1.0","","Traditional","Northwoods","","","","Public","","2007"
"BR2017001817","","City","$139,000","","","1.0","","Ranch","Cedar Mill Run","","","","Public","","1983"
"BR2017005449","","City","$173,000","","","1.0","","Acadian","Indian Mound","","","","Public","",""
"BR2017006329","","City","$192,000","","","1.0","","Traditional","Indian Mound","","","","Public","","1999"
"BR2018019736","","City","$385,000","","","1.0","","Acadian","Bellingrath Estates","","","","Public","","2018"
"BR2021001717","","City","$370,715","","","1.0","","Traditional","Bellingrath Estates","","","","Public","","2021"
"BR2021013749","","","$285,000","","","1.0","","Traditional","Woodstock","","","","Public","Water Front","2013"
"BR2021013825","","","$269,000","","","1.0","","Traditional","Burlington Lakes","","","","Public","Water Front","2011"
"BR2021013838","","City","$292,000","","","1.0","","Traditional","Burlington Lakes","","","","Public","Water Access Community","2013"
"BR2021013850","","City","$272,000","","","1.0","","Contemporary","Woodstock","","","","Public","Water Front",""
"BR2021013859","","City","$399,000","","","1.0","","French Country","Bellingrath Lakes","","","","Public","",""
"BR2021013874","","City","$285,000","","","1.0","","French Country","Burlington Lakes","","","","","","2012"
"BR2021013905","","City","$270,000","","","1.0","","French Country","Woodstock","","","","Public","","2014"
"BR2021014123","","City","$245,000","","","1.0","","Traditional","Northwoods","","","","Public","","2004"
"BR2021014270","","City","$205,000","","","2.0","","Traditional","East Ridgewood","","","","Public","",""
"BR2021014402","","","$275,000","","","1.0","","Traditional","Woodstock","","","","Public","","2014"
"BR2021014612","","","$165,000","","","1.0","","Traditional","Country Road","","","","Public","","1978"
"BR2021014754","","City","$208,000","","","1.0","","Traditional","East Ridgewood","","","","Public","",""
"BR2021014904","","City","$345,000","","","1.0","","Traditional","Woodstock","","","","Public","Water Access Community","2015"
"BR2021014952","","City","$245,000","","","1.0","","Ranch","Biltmore","","","","Public","","1986"
"BR2021014968","","","$156,000","","","1.0","","Traditional","Cedar Mill Run","","","","Public","","1986"
"BR2021014993","","Septic","$505,000","","","2.0","","Acadian","Rural Tract (No Subd)","","","","Public","","2019"
"BR2021015034","","","$300,000","","","1.0","","Traditional","Bellingrath Estates","","","","Public","",""
"BR2021015072","","","$355,000","","","1.0","","Traditional","Bellingrath Lakes","","","","Public","",""
"BR2021015210","","City","$223,000","","","1.0","","Traditional","Biltmore","","","","Public","","1979"
"BR2021015234","","City","$345,000","","","1.0","","Acadian","Village Lakes","","","","Public","Water View","2011"
"BR2021015607","","","$212,000","","","1.0","","Acadian","Morgan Springs","","","","Public","","2010"
"BR2021015644","","City","$295,000","","","1.0","","Traditional","Bellingrath Estates","","","","Public","","2018"
"BR2021015664","","City","$294,000","","","1.0","","Traditional","Bellingrath Estates","","","","Public","","1979"
"BR2021016198","","City","$250,000","","","1.0","","Contemporary","Bridlewood","","","","Public","Water Front","1979"
"BR2021016295","","City","$375,000","","","1.0","","Acadian","Bellingrath Lakes","","","","Public","","2002"
"BR2021016372","","City","$332,000","","","1.0","","Other","Geo-Jes Country Estates","","","","Public","","2005"
"BR2021016575","","","$215,000","","","1.0","","Traditional","Biltmore","","","","Public","",""
"BR2021016605","","City","$170,000","","","1.0","","Traditional","Ridgewood East","","","","Public","",""
"BR2021016741","","City","$195,000","","","1.0","","Traditional","Indian Mound","","","","Public","","1979"
"BR2021016945","","City","$160,000","","","1.0","","Cottage","Cedar Mill Run","","","","Public","",""
"BR2021017099","","","$595,000","","","1.0","","Traditional","Rural Tract (No Subd)","","","","","","2016"
"BR2021017710","","","$375,000","","","1.5","","Traditional","Northwoods","","","","Public","","2009"
"2315579","","City","$275,000","None","","2.0","","Traditional","Bellemeade South","","No","","Public","",""
"2315670","","City","$260,000","","","1.0","","Traditional","","","No","","Public","",""
"2315823","","City","$245,000","","","1.0","","Traditional","","","No","","Public","",""
"2315966","","City","$299,000","","","1.0","","Shot Gun","","","Yes","","Public","",""
"2316454","","City","$187,000","None","","1.0","","Cottage","","","No","","Public","",""
"2316464","","City","$425,000","None","","2.0","","Traditional","Stonebridge","","No","","Public","",""
"2316760","","City","$330,000","","","2.0","","Traditional","Timberlane","","Yes","","Public","",""
"2316866","","City","$105,000","","","1.0","","Traditional","Not a Subdivision","","No","","Public","",""
"2316999","","City","$256,000","","","1.0","","Ranch","","","Yes","","Public","",""
"2318400","","City","$234,000","None","","1.0","","Traditional","","","No","","Public","",""
"2318822","","City","$285,000","","","1.0","","Traditional","","","Yes","","Public","",""
"2318657","","City","$265,000","None","","1.0","","Traditional","Park Place","","No","","Public","",""
"2319195","","City","$169,000","","","1.0","","Ranch","","","No","","Public","",""
"2318834","","City","$305,000","","","1.0","","Traditional","","","Yes","","Public","",""
"2319908","","City","$339,000","","","2.0","","Camelback","","","Yes","","Public","",""
"2320589","","City","$259,000","None","","1.0","","Traditional","Bellemeade North","","No","","Public","",""
"2320478","","City","$249,000","","","1.0","","Cottage","","","Yes","","Public","",""
"2320412","","City","$147,000","None","","1.0","","Ranch","","","No","","Public","",""
"BR2016009531","","","$225,000","","","1.0","","Traditional","Elmwood Park","","","","Public","","2008"
"BR2021013674","","City","$200,000","","","1.0","","Traditional","Blaire Village","","","","Public","",""
"2315162","","Utility Co.","$170,000","","","1.0","","Traditional","Hidden Pines","","No","","Public","",""
"2315239","","City","$35,000","","","1.0","","Traditional","Kenmore Addition","","No","","Public","",""
"2315838","","Utility Co.","$199,000","","","2.0","","Traditional","Wedgewood Sub","","Yes","","Public","",""
"2315903","","City","$253,690","","","1.0","","Traditional","Coburn Lakes","","Yes","","Public","",""
"2315933","","Septic","$30,000","","","1.0","","Mobile Home","Not a Subdivision","","No","","Public","",""
"2316335","","Treatment Plant","$280,000","","","1.0","","Traditional","Not a Subdivision","","No","","Well","",""
"2316382","","City","$301,300","","","1.0","","Traditional","Coburn Lakes","","Yes","","Public","",""
"2316431","","Utility Co.","$72,550","","","1.0","","Traditional","Happywoods","","No","","Public","",""
"2316446","","Utility Co.","$95,225","","","1.0","","Traditional","Happywoods","","No","","Public","",""
"2316519","","City","$286,495","","","1.0","","Traditional","Coburn Lakes","","Yes","","Public","",""
"2316453","","City","$255,000","","","1.0","","Traditional","Providence Ridge","","Yes","","Public","",""
"2316807","","City","$299,000","","","1.0","","Traditional","Woodlake Estates","","Yes","","Public","",""
"2316563","","City","$200,000","None","","1.0","","Traditional","Wedgewood Sub","","No","","Public","",""
"2317146","","Utility Co.","$178,000","","","1.0","","Traditional","Wellington Estates Sub.","","Yes","","Public","",""
"2317302","","City","$65,000","None","","1.0","","Traditional","Sharp Sub","","No","","Public","",""
"BR2021015813","","City","$190,650","","","1.0","","Traditional","Sterling Estates","","","","Public","","2017"
"2316440","","City","$300,000","","","1.0","","Traditional","Woodlake Estates","","Yes","","Public","",""
"2318803","","City","$175,000","","","1.0","","Traditional","Pine Hill Forrest Sub","","No","","Public","",""
"2318875","","City","$225,000","","","1.0","","French Provincial","Aurora Pl","","No","","Public","",""
"2318828","","Septic","$173,000","","","1.0","","Ranch","Not a Subdivision","","No","","Public","",""
"2318988","","City","$435,500","None","","1.0","","Traditional","New Subdivision","","Yes","","Public","",""
"2318978","","City","$294,000","None","","1.0","","French Country","Woodlake Estates","","Yes","","Public","",""
"2319131","","Septic","$260,000","","","1.0","","Traditional","Not a Subdivision","","No","","Public","",""
"2319231","","City","$200,000","","","1.0","","Traditional","Holly Gardens","","No","","Public","",""
"2319209","","City","$66,000","","","1.0","","Traditional","Not a Subdivision","","No","","Public","",""
"2319369","","Septic","$205,000","","","1.0","","Contemporary","Not a Subdivision","","No","","Public","",""
"BR2021016143","","City","$279,000","","","1.0","","Traditional","Woodlake Estates","","","","","","2019"
"2320205","","Treatment Plant","$290,000","","","1.0","","Acadian","Not a Subdivision","","No","","Well","",""
"2320387","","City","$163,500","","","1.0","","Townhouse","Mooney Addition","","No","","Public","",""
"2320564","","City","$325,000","","","1.0","","Traditional","Woodlake Estates","","Yes","","Public","",""
"2320595","","Treatment Plant","$350,000","","","1.0","","Traditional","Not a Subdivision","","No","","Public","",""
"BR2021016757","","City","$198,555","","","1.0","","Traditional","Rural Tract (No Subd)","","","","Public","","2021"
"2316551","","Utility Co.","$223,000","None","","1.0","","Traditional","Southwood Ridge","","No","","Public","",""
"2322306","","Utility Co.","$154,000","","","1.0","","Traditional","Wellington Estates Sub.","","No","","Public","",""
"2323404","","Treatment Plant","$115,000","","","1.0","","Townhouse","Not a Subdivision","","Yes","","Public","",""
"2316465","","City","$299,000","None","","1.0","","Cottage","","","No","","Public","",""
"2318970","","City","$425,000","None","","1.0","","Traditional","","","No","","Public","",""
"2318806","","City","$320,000","","","1.0","","Traditional","","","No","","Public","",""
"2317140","","City","$315,000","","","2.0","","Traditional","","","No","","Public","",""
"2320423","0.7487","City","$125,000","None","No","2.0","2","Other","","Yes","Yes","","Public","",""
"2315264","0","City","$125,000","None","No","2.0","2","Townhouse","Spanish Oaks","No","Yes","","Public","",""
"2315782","0","City","$114,000","","No","1.0","2","Traditional","","No","No","","Public","",""
"2315707","","City","$454,900","Outside","","2.0","","Creole/French Colonial","Stonebridge","","No","","Public","Water View",""
"2316643","","Utility Co.","$215,000","None","","2.0","","Traditional","","","Yes","","Public","",""
"2316870","","City","$130,000","","","1.0","","Ranch","Woodmere","","No","","Public","",""
"2316945","","City","$325,000","","","2.0","","Traditional","","","No","","Public","",""
"2317005","","City","$226,000","","","2.0","","Traditional","Woodmere","","No","","Public","",""
"2317182","","City","$300,000","None","","1.0","","Ranch","","","No","","Public","",""
"2317251","","City","$159,000","","","1.0","","Shot Gun","","","No","","Public","",""
"2318660","","City","$103,000","","","1.0","","Traditional","Maplewood","","Yes","","Public","",""
"2318912","","City","$245,000","","","1.0","","Ranch","","","No","","Public","",""
"2318907","","City","$140,000","None","","1.0","","Ranch","Maplewood","","Yes","","Public","",""
"2318809","","City","$225,000","None","","1.0","","Ranch","","","No","","Public","",""
"2319103","","City","$275,000","None","","2.0","","Ranch","","","No","","Public","",""
"2318456","","City","$350,000","","","1.0","","Traditional","Woodland West","","Yes","","Public","",""
"2319378","","City","$225,000","","","1.0","","Traditional","Woodmere","","Yes","","Public","",""
"2319776","","City","$140,000","","","1.0","","Other","","","No","","Public","",""
"2320091","","City","$215,000","Inside","","1.0","","Ranch","Woodmere","","No","","Public","",""
"2320649","","City","$90,000","","","1.0","","Cottage","","","No","","Public","",""
"2320470","","Utility Co.","$285,000","None","","1.0","","Traditional","Woodland West","","No","","Public","",""
"2322165","","City","$178,000","None","","1.0","","Ranch","","","No","","Public","",""
"CN152267","","","$105,000","","","1.0","","","N/A","","","","Public","Water Front",""
"CN158333","","","$37,500","","","1.0","","","Rural Hessmer","","","","Public","",""
"CN158349","","City","$92,900","","","1.0","","","N/A","","","","Public","",""
"CN158513","","","$290,000","","","1.0","","","Yellow Rose","","","","Public","",""
"CN158679","","City","$55,000","","","1.0","","","N/A","","","","Public","",""
"CN160107","","","$225,000","","","1.0","","","none","","","","Public","Water Front","2001"
"CN160149","","","$136,000","","","1.0","","","Yellow Rose","","","","Public","","2004"
"CN160450","","City","$165,000","","","1.0","","","n/a","","","","Public","","1979"
"CN160748","","","$45,000","","","1.0","","","none","","","","Public","","2003"
"CN160772","","","$62,500","","","1.0","","","no","","","","Public","",""
"CN160808","","","$80,000","","","1.0","","Mobile Home","Bel Pines Est","","","","Public","","1996"
"CN161019","","","$220,000","","","1.0","","","NA","","","","Public","",""
"CN161163","","Septic","$125,000","","","1.0","","","NA","","","","Public","","1966"
"CN161395","","Septic","$190,000","","","1.0","","","N/A","","","","Public","",""
"CN162166","","","$53,000","","","1.0","","","NA","","","","Public","","1966"
"CN162668","","","$180,000","","","1.0","","","no","","","","Public","",""
"CN162875","","","$199,500","","","1.0","","","N/A","","","","Public","",""
"CN158183","","","$145,500","","","1.0","","","HINESTON","","","","Public","",""
"CN158447","","Septic","$187,500","","","1.0","","","none","","","","Public","","1969"
"CN161138","","Septic","$26,000","","","1.0","","Mobile Home","none","","","","Public","",""
"2316893","","Septic","$239,900","","","1.0","","Traditional","Not a Subdivision","","No","","Well","",""
"CN158783","","City","$309,000","","","2.0","","","none","","","","Public","",""
"BY106054","","","$80,000","","","1.0","","Traditional","","","","","","",""
"BY106223","","","$77,700","","","1.0","","Ranch","Lisa Park","","","","","",""
"BY106222","","","$67,900","","","1.0","","Ranch","Idlewild","","","","","",""
"BY106359","","City","$185,925","","","1.0","","Traditional","Southdown West","","","","","",""
"BY106453","","City","$128,000","","","1.0","","Contemporary","Holiday Park","","","","","",""
"BY161128","","City","$209,900","","","1.0","","","Southdown West","","","","Public","","1978"
"BY161131","","City","$174,500","","","2.0","","","Magnolia Courtyard Est","","","","Public","","2002"
"BY161138","","City","$179,000","","","1.0","","","Lafayette Woods","","","","Public","","1979"
"BY161142","","","$162,000","","","2.0","","","Redivision Kenneth Schwaush","","","","Public","","2017"
"BY161157","","City","$310,000","","","1.0","","","Clark Est","","","","Public","","2004"
"BY161158","","City","$277,000","","","1.0","","","Westgate","","","","","","2002"
"BY161161","","City","$150,900","","","1.0","","","Broadmoor","","","","Public","","1953"
"BY161163","","City","$123,000","","","1.0","","","Marcel Place","","","","Public","","1951"
"BY161166","","City","$75,000","","","1.0","","","None","","","","Public","","1947"
"BY161168","","City","$165,000","","","1.0","","","Broadmoor","","","","","","1978"
"BY161171","","City","$153,000","","","1.0","","","Quality Est","","","","Public","","2002"
"BY161175","","City","$203,000","","","1.0","","","Bayou Gardens","","","","Public","","1972"
"BY161180","","City","$289,000","","","1.0","","","Williamsburg","","","","Public","","2015"
"BY161181","","City","$299,900","","","2.0","","","Summerfield Place","","","","","","1982"
"BY161182","","City","$197,629","","","1.5","","","Jastremski Add","","","","Public","","1952"
"BY161184","","City","$310,000","","","2.0","","","Summerfield Place","","","","Public","","1987"
"BY161185","","City","$168,500","","","1.0","","","Lisa Park","","","","Public","","1970"
"BY161190","","City","$250,000","","","1.0","","","Crescent","","","","Public","","1981"
"BY161192","","City","$191,000","","","1.0","","Townhouse","Bayou Terrebonne Estates","","","","Public","","1998"
"BY161197","","City","$82,400","","","1.0","","","Broadmoor","","","","Public","","1962"
"BY161199","","City","$129,900","","","1.0","","","Hampton Park","","","","Public","","1978"
"BY161201","","City","$243,000","","","1.0","","","Summerfield Place","","","","Public","","1992"
"BY161204","","City","$158,000","","","1.0","","Party Wall Double","Bayou Terrebonne Estates","","","","Public","","1999"
"BY161206","","City","$392,500","","","1.0","","","Clark Est","","","","Public","","2001"
"BY161209","","City","$234,000","","","1.0","","","Boudreaux","","","","Public","","1949"
"BY161215","","City","$168,000","","","1.0","","","Alma Heights","","","","Public","","2003"
"BY161224","","","$228,500","","","1.0","","","Oak Manor","","","","Public","","2014"
"BY161225","","City","$126,000","","","1.0","","","Village East Industrial Park","","","","Public","","1978"
"BY161228","","City","$348,000","","","1.0","","","Westgate","","","","Public","","2012"
"BY161230","","City","$125,000","","","1.0","","","Acadialand","","","","Public","","1979"
"BY161233","","City","$398,000","","","1.0","","","Belmont Place","","","","Public","","2021"
"BY161235","","City","$130,000","","","1.0","","","Oakshire Manor","","","","Public","","1972"
"BY161241","","City","$305,000","","","1.0","","","Daigle Place","","","","Public","","1981"
"BY161247","","City","$175,000","","","1.0","","","Quality Est","","","","Public","","2002"
"BY161255","","City","$223,000","","","1.0","","","Southdown West","","","","Public","","1980"
"BY161256","","City","$130,000","","","1.0","","","Daigle Place","","","","Public","","1967"
"BY161263","","City","$125,000","","","1.0","","","Elysian Park","","","","Public","","1968"
"BY161267","","City","$90,000","","","1.0","","","Garnet Addition","","","","Public","","1940"
"BY161271","","City","$214,000","","","1.0","","","Broadmoor","","","","Public","","1963"
"BY161278","","City","$138,000","","","1.0","","","James Buquet","","","","Public","","1965"
"BY161280","","City","$171,900","","","1.0","","","Patriot Point","","","","Public","","2004"
"BY161281","","City","$131,500","","","1.0","","","Wolf S/D","","","","Public","","1957"
"BY161282","","City","$90,000","","","1.0","","Party Wall Double","Hollywood Home Sites","","","","Public","","1957"
"BY161300","","","$195,250","","","1.0","","","Evangeline Estates","","","","","","2021"
"BY161302","","City","$255,000","","","1.0","","","Westgate","","","","Public","","1995"
"BY161303","","","$202,860","","","1.0","","","Evangeline Estates","","","","","","2021"
"BY161309","","City","$150,000","","","1.5","","","Mulberry Heights","","","","Public","","1959"
"BY161314","","City","$140,000","","","1.0","","","Daigle","","","","Public","","1957"
"BY161319","","","$222,500","","","1.0","","","Evangeline Hts","","","","Public","","2003"
"BY161322","","City","$407,500","","","2.0","","","Ellendale","","","","Public","","1973"
"BY161324","","City","$380,000","","","1.5","","","Ellendale","","","","Public","","1981"
"BY161326","","City","$69,000","","","1.0","","","Coteau","","","","","","1980"
"BY161330","","City","$238,000","","","1.0","","","Summerfield Place","","","","Public","","1981"
"BY161337","","City","$58,000","","","1.0","","","Jastremski Add","","","","Public","","1973"
"BY161339","","City","$211,800","","","1.0","","","Broadmoor Heights","","","","Public","","1981"
"BY161341","","City","$355,000","","","1.0","","","Westgate","","","","Public","","2007"
"BY161343","","City","$229,900","","","1.0","","","Acadialand","","","","Public","","1968"
"BY161344","","City","$139,000","","","1.0","","","West Park Heights","","","","Public","","1961"
"BY161346","","City","$396,000","","","1.0","","","Belmont Place","","","","Public","","2021"
"BY161347","","City","$212,000","","","1.0","","","Colonial Acres","","","","Public","","2021"
"BY161350","","City","$120,000","","","1.0","","","Southdown West","","","","","","1979"
"BY161356","","City","$210,000","","","2.0","","","Bayou Gardens","","","","","","1972"
"BY161358","","","$162,000","","","1.0","","","None","","","","Public","","1978"
"BY161359","","City","$155,000","","","1.0","","","Broadmoor","","","","Public","","1956"
"BY161362","","","$635,000","","","1.0","","","Crescent Plantation","","","","Public","","1997"
"BY161366","","City","$145,000","","","1.0","","Mobile Home","Maplewood","","","","Public","","2007"
"BY161368","","City","$177,000","","","1.0","","","Mall Comm Plaza","","","","Public","","1994"
"BY161372","","City","$337,500","","","1.0","","","Westgate","","","","Public","","2013"
"BY161374","","City","$172,900","","","1.0","","","Lisa Park","","","","Public","","1971"
"BY161375","","Septic","$385,000","","","1.0","","","Manchester","","","","Public","","2001"
"BY161378","","City","$266,000","","","1.0","","","Deroche Estates","","","","Public","","2018"
"BY161379","","City","$342,000","","","1.0","","","Terra Cane","","","","","","2007"
"BY161380","","City","$139,500","","","1.0","","","Broadmoor","","","","Public","","1975"
"BY161381","","","$381,000","","","1.5","","","South Ellendale Estates","","","","Public","","1998"
"BY161385","","City","$162,000","","","1.0","","","Quality Est","","","","Public","","2000"
"BY161390","","City","$274,000","","","1.0","","","Westgate","","","","Public","","2006"
"BY161404","","City","$158,000","","","1.0","","","Pine Ridge","","","","Public","","1957"
"BY161406","","City","$147,000","","","1.0","","","Coteau","","","","Public","","1993"
"BY161409","","City","$169,200","","","1.0","","","Broadmoor Heights","","","","Public","","1967"
"BY161414","","City","$141,000","","","1.0","","","Margaret Place","","","","","","1971"
"BY161417","","","$132,000","","","1.0","","","Houma East","","","","Public","","1990"
"BY161424","","","$238,500","","","1.0","","","Oak Manor","","","","Public","","1980"
"BY161434","","City","$104,000","","","1.0","","","Elizabeth Place","","","","Public","","1943"
"BY161440","","City","$338,000","","","2.0","","","Honduras Add","","","","Public","","1951"
"BY161444","","Septic","$189,900","","","1.0","","","Shoreline Heights","","","","Public","Water Front","1980"
"BY161445","","City","$235,000","","","1.0","","","Allemand","","","","Public","","1965"
"BY161459","","","$135,000","","","2.0","","","None","","","","Public","","2002"
"BY161465","","City","$468,000","","","1.0","","","None","","","","Public","Water Front","2021"
"BY161467","","City","$329,000","","","1.0","","","Terra Cane","","","","Public","","2009"
"BY161475","","","$235,000","","","1.0","","","Evangeline Hts","","","","Public","","2003"
"BY161476","","City","$59,900","","","1.0","","","Jastremski Add","","","","Public","","1952"
"BY161485","","City","$275,000","","","1.0","","","Sugar Mill Point","","","","Public","","1986"
"BY161486","","City","$293,000","","","1.0","","","Westgate","","","","Public","","2003"
"BY161498","","City","$172,000","","","1.0","","","Patriot Point","","","","Public","","2004"
"BY161515","","City","$150,000","","","1.0","","","Quality Est","","","","Public","","2007"
"BY161519","","","$202,990","","","1.0","","","Evangeline Estates","","","","","","2021"
"BY161522","","City","$223,000","","","1.0","","","Colonial Acres","","","","Public","","2021"
"BY161523","","","$226,149","","","1.0","","","Evangeline Estates","","","","","","2021"
"BY161526","","City","$125,000","","","2.0","","Party Wall Double","Bayou Gardens","","","","Public","","1983"
"BY161529","","City","$229,000","","","1.0","","","Westgate","","","","","","1995"
"BY161531","","City","$105,000","","","1.0","","","Adoue","","","","Public","","1969"
"BY161533","","","$236,478","","","1.0","","","Evangeline Estates","","","","","","2021"
"BY161543","","","$217,758","","","1.0","","","Evangeline Estates","","","","","","2021"
"BY161546","","","$259,900","","","1.5","","","Ashland Commercial Park","","","","Public","Water Front","1991"
"BY161550","","City","$197,500","","","1.0","","","None","","","","Public","","1961"
"BY161553","","City","$315,000","","","1.0","","","Mulberry Heights","","","","Public","","1958"
"BY161556","","City","$185,000","","","1.0","","","Acadialand","","","","Public","","1972"
"BY161558","","City","$175,000","","","1.0","","","Cadiere","","","","Public","","1986"
"BY161559","","City","$150,000","","","1.0","","","Broadmoor","","","","Public","","1962"
"BY161562","","City","$290,000","","","1.0","","","Sugar Mill Place","","","","Public","","1996"
"BY161564","","City","$186,000","","","1.0","","","Patriot Point","","","","Public","","2013"
"BY161566","","City","$380,000","","","1.0","","","Sugar Mill Point","","","","Public","","1994"
"BY161571","","City","$199,500","","","1.0","","","R J Heights","","","","Public","","1995"
"BY161576","","","$393,600","","","1.0","","","Belmont Place","","","","Public","","2021"
"BY161579","","City","$317,000","","","1.0","","","Deroche Estates","","","","Public","","2016"
"BY161580","","City","$272,000","","","1.0","","","Westgate","","","","Public","","1995"
"BY161582","","City","$193,500","","","1.0","","","Acadialand","","","","Public","","1973"
"BY161589","","City","$149,000","","","1.0","","","Bayou Cane Heights","","","","Public","","1957"
"BY161591","","City","$229,000","","","1.0","","","Margaret Place","","","","Public","","1948"
"BY161600","","","$222,888","","","1.0","","","Evangeline Estates","","","","","","2021"
"BY161602","","City","$197,000","","","1.0","","","Broadmoor Heights","","","","Public","","1985"
"BY161603","","City","$219,900","","","1.0","","","Sugar Mill Manor","","","","Public","","1996"
"BY161612","","City","$163,800","","","1.0","","","Gardenview","","","","Public","","2003"
"BY161613","","City","$135,000","","","1.0","","","Woodlawn","","","","Public","","1988"
"BY161619","","","$119,000","","","1.0","","Modular","Caillou Grove Est","","","","Public","Water Front","2016"
"BY161624","","City","$184,500","","","1.0","","","Bayou Gardens","","","","Public","","1979"
"BY161626","","City","$213,000","","","1.0","","","Cascade Gardens","","","","Public","","2012"
"BY161628","","City","$152,000","","","1.0","","","Cypress Village","","","","Public","","1982"
"BY161633","","City","$205,000","","","1.0","","","Bayou Gardens","","","","Public","","1995"
"BY161636","","City","$191,500","","","1.0","","","Mystic","","","","","","1984"
"BY161642","","","$255,000","","","1.0","","","Summerfield Place","","","","Public","","1993"
"BY161646","","City","$479,900","","","1.0","","","Sugarwood Estates","","","","","","2011"
"BY161648","","","$213,124","","","1.0","","","Evangeline Estates","","","","","","2021"
"BY161649","","","$220,115","","","1.0","","","Evangeline Estates","","","","","","2021"
"BY161650","","City","$283,000","","","1.0","","","Summerfield Place","","","","Public","","1999"
"BY161653","","City","$187,700","","","1.0","","","Jastremski Add","","","","Public","","1953"
"BY161656","","City","$178,000","","","1.0","","","Cadiere","","","","","","1996"
"BY161657","","City","$187,000","","","1.0","","","Broadmoor","","","","Public","","1953"
"BY163294","","City","$224,000","","","1.0","","","Broadmoor","","","","Public","","1959"
"BY163298","","City","$190,000","","","1.0","","","Jastremski Add","","","","Public","","1954"
"BY163303","","City","$160,000","","","1.0","","","Barrow","","","","Public","","1959"
"BY163315","","","$205,215","","","1.0","","","Evangeline Estates","","","","","","2021"
